Type,Strike,Last,% From Last,Bid,Midpoint,Ask,Change,%Chg,IV,Volume,Open Int,Time
CALL,100,2314.4,0.0096,2239.2,2242.8,2246.4,-35.6,-0.0151,0,1,471,13:36 ET
CALL,200,2497.15,0.0092,2142.1,2145.65,2149.2,-18.95,-0.0075,0,100,181,15:44 ET
CALL,300,2065.02,0.0087,2044.8,2048.35,2051.9,-62.03,-0.0292,0,118,161,15:51 ET
CALL,400,2171.35,0.0083,1947.6,1951.15,1954.7,-181.05,-0.077,0,10,29,13:43 ET
CALL,500,1942,0.0079,1850.4,1853.9,1857.4,268,0.1601,0,10,60,10:51 ET
CALL,600,1774.02,0.0075,1753.2,1756.65,1760.1,-61.93,-0.0337,0,118,148,15:51 ET
CALL,650,N/A,0.0073,1704.6,1708.1,1711.6,unch,N/A,0,N/A,N/A,N/A
CALL,700,N/A,0.0071,1656.1,1659.55,1663,unch,N/A,0,N/A,N/A,N/A
CALL,750,1674.65,0.0069,1607.6,1611.05,1614.5,-188.35,-0.1011,0,10,14,16:13 ET
CALL,800,1626.15,0.0067,1557.8,1561.25,1564.7,-116.1,-0.0666,0,10,10,16:13 ET
CALL,850,1488.15,0.0065,1510.8,1514.2,1517.6,1488.15,N/A,0,1,1,15:33 ET
CALL,900,1645.35,0.0062,1462.3,1465.7,1469.1,-42.05,-0.0249,0,10,12,10:14 ET
CALL,950,1581.35,0.006,1414.2,1417.6,1421,186.7,0.1339,0,4,4,11:29 ET
CALL,1000,1461.15,0.0058,1366,1369.4,1372.8,-176.55,-0.1078,0,300,2564,11:41 ET
CALL,1050,N/A,0.0056,1318,1321.35,1324.7,unch,N/A,0,N/A,N/A,N/A
CALL,1100,1673.2,0.0054,1270,1273.35,1276.7,1673.2,N/A,0,17,17,11:47 ET
CALL,1150,1625.6,0.0052,1222.3,1225.6,1228.9,1625.6,N/A,0,17,17,11:47 ET
CALL,1175,N/A,0.0051,1198.3,1201.65,1205,unch,N/A,0,N/A,N/A,N/A
CALL,1200,1181.75,0.005,1174.5,1177.85,1181.2,-160.15,-0.1193,0,1,3,09:45 ET
CALL,1225,1537.75,0.0049,1150.7,1154,1157.3,-4.1,-0.0027,0,1,15,09:45 ET
CALL,1250,1266.6,0.0048,1127.1,1130.4,1133.7,198.35,0.1857,0,1,1,10:45 ET
